electrode_name,region
F24,ctx-lh-precentral
F30,ctx-lh-precentral
F31,ctx-lh-precentral
F32,ctx-lh-precentral
F35,ctx-lh-parstriangularis
F36,ctx-lh-parstriangularis
F37,ctx-lh-parsopercularis
F38,ctx-lh-precentral
F39,ctx-lh-precentral
F40,ctx-lh-postcentral
F42,ctx-lh-parsorbitalis
F43,ctx-lh-parstriangularis
F44,ctx-lh-parstriangularis
F45,ctx-lh-parsopercularis
F46,ctx-lh-precentral
F47,ctx-lh-postcentral
F48,ctx-lh-postcentral
P49,ctx-lh-inferiorparietal
P50,ctx-lh-inferiorparietal
P51,ctx-lh-superiortemporal
P52,ctx-lh-superiortemporal
P53,ctx-lh-superiortemporal
P54,ctx-lh-superiortemporal
P55,ctx-lh-superiortemporal
P56,ctx-lh-superiortemporal
P57,ctx-lh-inferiorparietal
P58,ctx-lh-inferiorparietal
P59,ctx-lh-supramarginal
P60,ctx-lh-supramarginal
P61,ctx-lh-supramarginal
P62,ctx-lh-supramarginal
C01,ctx-lh-postcentral
C02,ctx-lh-postcentral
C03,ctx-lh-postcentral
C04,ctx-lh-postcentral
C05,ctx-lh-postcentral
C06,ctx-lh-postcentral
C07,ctx-lh-precentral
C08,ctx-lh-precentral
C09,ctx-lh-postcentral
C10,ctx-lh-postcentral
C11,ctx-lh-postcentral
C12,ctx-lh-postcentral
C13,ctx-lh-postcentral
C14,ctx-lh-postcentral
C15,ctx-lh-precentral
C16,ctx-lh-precentral
ST3,ctx-lh-superiortemporal
ST4,ctx-lh-superiortemporal
ST5,ctx-lh-superiortemporal
ST6,ctx-lh-superiortemporal
ST7,ctx-lh-middletemporal
ST8,ctx-lh-superiortemporal
C17,ctx-lh-postcentral
C18,ctx-lh-postcentral
C19,ctx-lh-postcentral
C20,ctx-lh-postcentral
C21,ctx-lh-precentral
C22,ctx-lh-precentral
C23,ctx-lh-precentral
C24,ctx-lh-precentral
C25,ctx-lh-postcentral
C26,ctx-lh-postcentral
C27,ctx-lh-postcentral
C29,ctx-lh-precentral
C30,ctx-lh-precentral
C31,ctx-lh-precentral
C32,ctx-lh-precentral
