electrode_name,region,label_id,distance_mm,method,x_mm,y_mm,z_mm,x_voxel,y_voxel,z_voxel
AR1,Right-Amygdala,54,0.0,direct,22.42,23.64,-31.74,186,202,180
AR2,Right-Amygdala,54,0.0,direct,25.334,23.354,-31.654,186,202,184
AR3,Right-Amygdala,54,0.0,direct,31.334,22.954,-32.054,186,201,194
AR4,Right-Cerebral-White-Matter,41,0.0,direct,37.134,22.354,-32.454,186,200,204
AR5,Right-Cerebral-White-Matter,41,0.0,direct,42.934,21.954,-32.854,186,199,214
AR6,ctx-rh-middletemporal,2015,0.599999189376831,nearest-neighbor,48.968,21.521,-33.121,186,199,224
AR7,ctx-rh-middletemporal,2015,0.0,direct,54.734,21.154,-33.454,186,198,234
AR8,ctx-rh-middletemporal,2015,0.599999189376831,nearest-neighbor,60.801,21.188,-34.288,185,197,244
AR9,ctx-rh-middletemporal,2015,4.874416828155518,nearest-neighbor,66.668,20.621,-34.788,185,196,253
AHR1,Right-Hippocampus,53,0.0,direct,26.134,15.354,-36.454,198,192,187
AHR2,Right-Hippocampus,53,0.0,direct,28.134,15.354,-36.454,198,192,190
AHR3,Right-Hippocampus,53,0.0,direct,34.634,14.354,-34.954,199,194,201
AHR4,Right-Cerebral-White-Matter,41,0.0,direct,40.356,13.465,-33.676,200,196,211
AHR5,Right-Cerebral-White-Matter,41,0.0,direct,46.225,12.627,-32.273,201,198,220
AHR6,Right-Cerebral-White-Matter,41,0.0,direct,51.801,11.799,-30.899,202,200,230
AHR7,ctx-rh-middletemporal,2015,0.0,direct,57.468,10.91,-30.01,203,201,239
AHR8,ctx-rh-middletemporal,2015,0.0,direct,63.579,10.243,-28.788,204,203,250
AHR9,ctx-rh-middletemporal,2015,3.2310943603515625,nearest-neighbor,69.134,9.354,-27.454,205,205,259
PHR1,Right-Hippocampus,53,0.0,direct,28.706,-5.646,-24.597,235,206,193
PHR2,Right-Hippocampus,53,0.0,direct,31.634,-6.146,-24.954,235,205,198
PHR3,Right-Cerebral-White-Matter,41,0.0,direct,37.734,-5.846,-25.454,234,204,208
PHR4,Right-Cerebral-White-Matter,41,0.0,direct,43.468,-6.146,-26.121,234,203,218
PHR5,Right-Cerebral-White-Matter,41,0.0,direct,49.634,-5.646,-26.454,232,203,228
PHR6,Right-Cerebral-White-Matter,41,0.0,direct,55.468,-5.812,-26.621,232,202,238
PHR7,ctx-rh-middletemporal,2015,0.0,direct,61.634,-5.646,-26.454,231,203,248
PHR8,ctx-rh-middletemporal,2015,2.749541759490967,nearest-neighbor,67.596,-6.261,-26.07,231,203,258
PHR9,Out-of-bounds,-1,-1.0,failed,73.075,-6.587,-25.984,231,203,267
ITR1,ctx-rh-fusiform,2007,0.0,direct,40.968,5.521,-40.454,211,183,212
ITR2,ctx-rh-fusiform,2007,0.0,direct,44.134,5.354,-39.454,211,184,218
ITR3,ctx-rh-inferiortemporal,2009,0.0,direct,48.134,4.354,-37.454,213,187,224
ITR4,Right-Cerebral-White-Matter,41,0.0,direct,51.134,3.354,-36.454,215,189,230
ITR5,ctx-rh-inferiortemporal,2009,0.0,direct,54.134,3.354,-34.454,215,192,235
ITR6,ctx-rh-middletemporal,2015,0.599999189376831,nearest-neighbor,57.134,3.354,-33.454,215,194,240
ITR7,ctx-rh-middletemporal,2015,0.0,direct,60.134,2.354,-31.454,217,197,245
ITR8,ctx-rh-middletemporal,2015,1.3416390419006348,nearest-neighbor,63.134,2.354,-30.454,216,198,250
ITR9,ctx-rh-middletemporal,2015,1.6970539093017578,nearest-neighbor,67.134,2.354,-28.454,217,202,256
ITR10,ctx-rh-middletemporal,2015,4.2426347732543945,nearest-neighbor,70.134,1.354,-26.454,218,205,262
MFR1,ctx-rh-medialorbitofrontal,2014,0.0,direct,13.134,70.354,-15.454,114,241,159
MFR2,ctx-rh-medialorbitofrontal,2014,0.0,direct,14.134,70.354,-11.454,115,247,161
MFR3,ctx-rh-medialorbitofrontal,2014,0.0,direct,15.134,70.354,-8.454,116,252,162
MFR4,ctx-rh-superiorfrontal,2028,1.0392290353775024,nearest-neighbor,16.134,70.354,-5.454,117,257,164
MFR5,ctx-rh-rostralanteriorcingulate,2026,0.599999189376831,nearest-neighbor,18.134,70.354,-2.454,117,262,167
MFR6,ctx-rh-superiorfrontal,2028,1.0392290353775024,nearest-neighbor,19.134,70.354,1.546,118,269,169
MFR7,ctx-rh-superiorfrontal,2028,1.0392290353775024,nearest-neighbor,20.134,69.354,4.546,121,273,171
MFR8,ctx-rh-superiorfrontal,2028,0.0,direct,22.134,69.354,8.546,121,280,174
MFR9,Right-Cerebral-White-Matter,41,0.0,direct,23.134,69.354,11.546,122,285,176
MFR10,Right-Cerebral-White-Matter,41,0.0,direct,24.134,69.354,14.546,123,290,178
MFR11,ctx-rh-superiorfrontal,2028,0.0,direct,25.134,69.354,17.546,123,295,179
MFR12,ctx-rh-superiorfrontal,2028,0.0,direct,26.134,69.354,20.546,124,300,181
MFR13,ctx-rh-superiorfrontal,2028,0.0,direct,27.134,69.354,23.546,125,305,183
MFR14,ctx-rh-superiorfrontal,2028,0.599999189376831,nearest-neighbor,28.134,68.354,27.546,127,311,185
MFR15,ctx-rh-superiorfrontal,2028,2.078458070755005,nearest-neighbor,29.134,68.354,30.546,128,316,186
FOR1,Right-Cerebral-White-Matter,41,0.0,direct,22.134,67.354,-20.454,117,232,174
FOR2,ctx-rh-lateralorbitofrontal,2012,0.0,direct,22.134,66.354,-17.454,120,236,174
FOR3,Right-Cerebral-White-Matter,41,0.0,direct,22.134,65.354,-13.454,122,243,175
FOR4,Right-Cerebral-White-Matter,41,0.0,direct,23.134,65.354,-9.454,123,249,176
FOR5,Right-Cerebral-White-Matter,41,0.0,direct,24.134,65.354,-6.454,124,254,178
FOR6,Right-Cerebral-White-Matter,41,0.0,direct,25.134,65.354,-2.454,125,261,180
FOR7,Right-Cerebral-White-Matter,41,0.0,direct,25.134,64.354,0.546,127,265,180
FOR8,Right-Cerebral-White-Matter,41,0.0,direct,26.134,64.354,4.546,128,272,182
FOR9,Right-Cerebral-White-Matter,41,0.0,direct,26.134,64.354,7.546,129,277,182
FOR10,Right-Cerebral-White-Matter,41,0.0,direct,27.134,64.354,11.546,130,283,183
FOR11,Right-Cerebral-White-Matter,41,0.0,direct,27.134,63.354,14.546,132,288,183
FOR12,Right-Cerebral-White-Matter,41,0.0,direct,28.134,63.354,18.546,133,295,185
FOR13,ctx-rh-superiorfrontal,2028,0.0,direct,28.134,63.354,21.546,134,300,185
FOR14,ctx-rh-superiorfrontal,2028,0.0,direct,29.134,63.354,24.546,135,305,187
FOR15,ctx-rh-superiorfrontal,2028,0.8485269546508789,nearest-neighbor,29.134,62.354,28.546,137,311,187
MFL1,ctx-lh-medialorbitofrontal,1014,0.0,direct,6.134,75.354,-15.454,107,242,147
MFL2,ctx-lh-medialorbitofrontal,1014,0.0,direct,6.134,75.354,-12.454,108,247,147
MFL3,ctx-lh-medialorbitofrontal,1014,0.0,direct,5.134,75.354,-8.454,109,253,145
