electrode_name,region
FH01,ctx-lh-superiorfrontal
FH02,ctx-lh-superiorfrontal
FH03,ctx-lh-rostralmiddlefrontal
FH04,ctx-lh-caudalmiddlefrontal
FH05,ctx-lh-caudalmiddlefrontal
FH06,ctx-lh-superiorfrontal
FH07,ctx-lh-caudalmiddlefrontal
FH08,ctx-lh-precentral
FH09,ctx-lh-superiorfrontal
FH10,ctx-lh-rostralmiddlefrontal
FH11,ctx-lh-rostralmiddlefrontal
FH12,ctx-lh-caudalmiddlefrontal
FH13,ctx-lh-caudalmiddlefrontal
FH14,ctx-lh-caudalmiddlefrontal
FH15,ctx-lh-precentral
FH16,ctx-lh-postcentral
FH17,ctx-lh-rostralmiddlefrontal
FH18,ctx-lh-rostralmiddlefrontal
FH19,ctx-lh-rostralmiddlefrontal
FH20,ctx-lh-caudalmiddlefrontal
FH21,ctx-lh-caudalmiddlefrontal
FH22,ctx-lh-caudalmiddlefrontal
FH23,ctx-lh-precentral
FH24,ctx-lh-postcentral
FH25,ctx-lh-rostralmiddlefrontal
FH26,ctx-lh-rostralmiddlefrontal
FH27,ctx-lh-rostralmiddlefrontal
FH28,ctx-lh-caudalmiddlefrontal
FH29,ctx-lh-caudalmiddlefrontal
FH30,ctx-lh-precentral
FH31,ctx-lh-precentral
FH32,ctx-lh-postcentral
FL01,ctx-lh-rostralmiddlefrontal
FL02,ctx-lh-rostralmiddlefrontal
FL03,ctx-lh-rostralmiddlefrontal
FL04,ctx-lh-parsopercularis
FL05,ctx-lh-precentral
FL06,ctx-lh-precentral
FL07,ctx-lh-postcentral
FL08,ctx-lh-postcentral
FL09,ctx-lh-rostralmiddlefrontal
FL10,ctx-lh-parstriangularis
FL11,ctx-lh-parstriangularis
FL12,ctx-lh-parsopercularis
FL13,ctx-lh-parsopercularis
FL14,ctx-lh-precentral
FL15,ctx-lh-postcentral
FL16,ctx-lh-postcentral
FL17,ctx-lh-parstriangularis
FL18,ctx-lh-parstriangularis
FL19,ctx-lh-parstriangularis
FL20,ctx-lh-parstriangularis
FL21,ctx-lh-parsopercularis
FL22,ctx-lh-precentral
FL23,ctx-lh-superiortemporal
FL24,ctx-lh-superiortemporal
FL25,ctx-lh-parstriangularis
FL26,ctx-lh-parstriangularis
FL27,ctx-lh-parstriangularis
FL28,ctx-lh-superiortemporal
FL29,ctx-lh-superiortemporal
FL30,ctx-lh-superiortemporal
FL31,ctx-lh-middletemporal
FL32,ctx-lh-superiortemporal
