electrode_name,region,label_id,distance_mm,method,x_mm,y_mm,z_mm,x_voxel,y_voxel,z_voxel
AIR1,ctx-rh-insula,2035,1.4696879386901855,nearest-neighbor,40.865,35.334,4.152,215,240,181
AIR2,ctx-rh-insula,2035,1.3416353464126587,nearest-neighbor,39.104,36.203,7.485,211,241,187
AIR3,ctx-rh-parstriangularis,2020,1.1999951601028442,nearest-neighbor,38.318,37.015,10.775,210,242,192
AIR4,ctx-rh-parstriangularis,2020,0.0,direct,37.076,38.33,14.194,207,244,198
AIR5,Right-Cerebral-White-Matter,41,0.0,direct,36.227,38.89,16.401,206,245,201
AIR6,Right-Cerebral-White-Matter,41,0.0,direct,34.954,39.731,19.712,203,246,207
AIR7,Right-Cerebral-White-Matter,41,0.0,direct,33.712,41.046,23.131,201,248,212
AIR8,Right-Cerebral-White-Matter,41,0.0,direct,32.863,41.606,25.339,199,249,216
AIR9,Right-Cerebral-White-Matter,41,0.0,direct,32.077,42.418,28.628,198,250,221
AIR10,ctx-rh-rostralmiddlefrontal,2027,0.0,direct,30.803,43.259,31.939,195,252,227
AIR11,ctx-rh-rostralmiddlefrontal,2027,0.5999975800514221,nearest-neighbor,29.105,44.379,36.354,192,253,234
AIR12,Right-Cerebral-White-Matter,41,0.0,direct,28.288,45.414,38.669,191,255,238
AIR13,Right-Cerebral-White-Matter,41,0.0,direct,27.015,46.254,41.98,188,256,243
AIR14,ctx-rh-superiorfrontal,2028,0.0,direct,26.228,47.067,45.27,187,258,249
AIR15,ctx-rh-superiorfrontal,2028,1.4696879386901855,nearest-neighbor,24.562,48.662,49.793,183,260,256
AR1,Right-Hippocampus,53,0.0,direct,13.488,17.761,-16.456,172,209,145
AR2,Right-Hippocampus,53,0.0,direct,16.931,18.74,-17.366,178,211,144
AR3,Right-Hippocampus,53,0.0,direct,19.854,19.271,-18.363,183,212,142
AR4,Right-Amygdala,54,0.0,direct,23.751,19.747,-19.403,189,213,141
AR5,Right-Cerebral-White-Matter,41,0.0,direct,27.162,20.25,-20.421,195,214,139
AR6,Right-Cerebral-White-Matter,41,0.0,direct,30.117,21.257,-21.31,200,216,138
AR7,Right-Cerebral-White-Matter,41,0.0,direct,33.527,21.76,-22.328,205,217,137
AR8,Right-Cerebral-White-Matter,41,0.0,direct,36.481,22.069,-22.35,210,218,137
AR9,ctx-rh-inferiortemporal,2009,0.0,direct,39.892,22.572,-23.369,216,219,135
AR10,ctx-rh-middletemporal,2015,0.5999975800514221,nearest-neighbor,43.302,23.076,-24.387,222,220,134
AR11,Right-Cerebral-White-Matter,41,0.0,direct,46.712,23.579,-25.405,227,221,132
AR12,ctx-rh-middletemporal,2015,1.1999951601028442,nearest-neighbor,50.123,24.083,-26.423,233,222,131
IPR1,ctx-rh-insula,2035,0.0,direct,36.81,15.428,-6.433,210,206,163
IPR2,ctx-rh-insula,2035,0.0,direct,35.864,13.864,-3.682,209,204,168
IPR3,ctx-rh-insula,2035,0.0,direct,34.918,12.301,-0.931,207,201,172
IPR4,ctx-rh-insula,2035,0.0,direct,34.49,10.486,2.773,206,198,178
IPR5,Right-Cerebral-White-Matter,41,0.0,direct,33.575,9.398,5.632,204,196,183
IPR6,Right-Cerebral-White-Matter,41,0.0,direct,32.66,7.612,9.357,203,193,189
IPR7,Right-Cerebral-White-Matter,41,0.0,direct,32.233,6.496,12.194,202,191,194
IPR8,Right-Cerebral-White-Matter,41,0.0,direct,31.319,5.407,15.053,200,189,198
IPR9,Right-Cerebral-White-Matter,41,0.0,direct,30.373,3.844,17.804,199,186,203
IPR10,Right-Cerebral-White-Matter,41,0.0,direct,29.914,2.252,20.533,198,184,207
IPR11,Right-Cerebral-White-Matter,41,0.0,direct,29.03,0.941,24.366,196,181,214
IPR12,Right-Cerebral-White-Matter,41,0.0,direct,28.084,-0.622,27.117,194,179,218
IPR13,Right-Cerebral-White-Matter,41,0.0,direct,27.169,-2.409,30.842,193,175,224
IPR14,Right-Cerebral-White-Matter,41,0.0,direct,26.255,-3.497,33.701,191,174,229
IPR15,Right-Cerebral-White-Matter,41,0.0,direct,25.858,-4.836,37.512,190,171,235
AHR1,Right-Hippocampus,53,0.0,direct,24.631,7.62,-17.073,191,193,145
AHR2,Right-Hippocampus,53,0.0,direct,27.617,8.403,-16.988,196,194,145
AHR3,Right-Hippocampus,53,0.0,direct,31.177,9.015,-15.933,202,195,147
AHR4,Right-Inf-Lat-Vent,44,0.0,direct,34.481,9.65,-15.527,207,197,148
AHR5,Right-Cerebral-White-Matter,41,0.0,direct,37.91,10.161,-14.856,213,198,149
AHR6,Right-Cerebral-White-Matter,41,0.0,direct,41.601,10.757,-13.809,219,199,151
AHR7,Right-Cerebral-White-Matter,41,0.0,direct,45.074,11.513,-13.746,225,201,152
AHR8,Right-Cerebral-White-Matter,41,0.0,direct,48.545,11.571,-12.815,230,201,153
AHR9,Right-Cerebral-White-Matter,41,0.0,direct,51.531,12.354,-12.73,235,202,154
AHR10,ctx-rh-middletemporal,2015,0.5999975800514221,nearest-neighbor,55.035,12.887,-11.691,241,203,156
PHR1,Right-Hippocampus,53,0.0,direct,30.746,-7.356,-6.655,202,168,162
PHR2,Right-Inf-Lat-Vent,44,0.0,direct,34.051,-7.745,-6.516,207,168,163
PHR3,Right-Cerebral-White-Matter,41,0.0,direct,37.929,-8.382,-5.757,214,167,164
PHR4,Right-Cerebral-White-Matter,41,0.0,direct,40.819,-9.024,-5.995,219,166,164
PHR5,ctx-rh-superiortemporal,2030,0.0,direct,44.746,-9.47,-5.194,225,165,166
PHR6,ctx-rh-middletemporal,2015,0.0,direct,51.562,-10.557,-4.63,236,164,167
PHR7,Right-Cerebral-White-Matter,41,0.0,direct,54.972,-10.751,-4.782,242,164,167
PHR8,Right-Cerebral-White-Matter,41,0.0,direct,58.866,-11.672,-4.088,249,163,168
PHR9,ctx-rh-middletemporal,2015,0.0,direct,61.757,-12.314,-4.326,254,162,168
PHR10,ctx-rh-middletemporal,2015,2.8142380714416504,nearest-neighbor,65.651,-13.234,-3.633,260,161,170
PHR11,ctx-rh-middletemporal,2015,5.264957427978516,nearest-neighbor,68.573,-13.401,-3.763,265,161,170
PHR12,Out-of-bounds,-1,-1.0,failed,73.442,-14.377,-3.113,273,159,171
ATR1,Right-Cerebral-White-Matter,41,0.0,direct,37.203,-16.367,2.206,213,153,177
ATR2,Right-Cerebral-White-Matter,41,0.0,direct,40.501,-17.629,2.31,218,151,178
ATR3,Right-Cerebral-White-Matter,41,0.0,direct,43.692,-18.833,1.934,224,150,177
ATR4,Right-Cerebral-White-Matter,41,0.0,direct,47.131,-19.805,1.871,229,148,177
ATR5,ctx-rh-middletemporal,2015,0.0,direct,50.447,-21.191,2.106,235,146,178
ATR6,ctx-rh-middletemporal,2015,0.8485246896743774,nearest-neighbor,53.619,-22.443,1.823,240,144,178
ATR7,ctx-rh-middletemporal,2015,0.0,direct,56.888,-23.602,1.455,246,143,177
ATR8,ctx-rh-middletemporal,2015,0.0,direct,60.157,-25.022,1.452,251,141,178
TOR1,Right-Cerebral-White-Matter,41,0.0,direct,11.207,-40.682,-5.123,172,111,163
TOR2,Right-Cerebral-White-Matter,41,0.0,direct,14.368,-42.084,-5.385,177,109,163
TOR3,ctx-rh-lingual,2013,0.0,direct,17.566,-43.742,-5.22,182,106,163
TOR4,ctx-rh-lingual,2013,0.0,direct,20.683,-45.229,-5.435,188,104,163
TOR5,Right-Cerebral-White-Matter,41,0.0,direct,23.875,-46.783,-5.891,193,102,162
TOR6,Right-Cerebral-White-Matter,41,0.0,direct,27.081,-48.182,-6.257,199,100,162
TOR7,Right-Cerebral-White-Matter,41,0.0,direct,30.275,-49.772,-6.091,204,97,163
TOR8,Right-Cerebral-White-Matter,41,0.0,direct,33.594,-51.204,-6.181,210,95,163
